Treatment	Plant	Time	A	gs
Control	I1	0	7.301666667	0.17
Control	I1	6	8.646666667	0.217777778
Control	I1	19	4.248333333	0.178333333
Control	I1	31	8.2	0.17625
Control	I2	39	.	.
Control	I1	45	8.17	0.2
Control	I1	51	4.14	0.08
Control	I1	59	7.575833333	0.165454545
Control	I2	0	4.063333333	0.113333333
Control	I2	6	6.258	0.158
Control	I2	19	2.828333333	0.063333333
Control	I2	31	2.571666667	0.038333333
Control	I2	39	6.578333333	0.138333333
Control	I2	45	2.468571429	0.038571429
Control	I2	51	6.11	0.1025
Control	I2	59	5.295	0.053333333
Control	I3	0	6.831111111	0.127777778
Control	I3	6	8.425555556	0.183333333
Control	I3	19	7.735	0.148333333
Control	I3	31	6.775	0.096666667
Control	I3	39	7.65	0.14
Control	I3	45	3.994	0.034
Control	I3	51	5.477142857	0.097142857
Control	I3	59	3.196666667	0.02
Control	I4	0	4.731666667	0.09
Control	I4	6	7.083333333	0.148333333
Control	I4	19	5.498333333	0.138333333
Control	I4	31	5.988333333	0.095
Control	I4	39	8.785	0.136666667
Control	I4	45	3.8975	0.03625
Control	I4	51	7.12	0.13
Control	I4	59	4.921428571	0.06
Drought	S1	0	6.698333333	0.143333333
Drought	S1	6	7.155555556	0.2075
Drought	S1	19	8.77	0.131666667
Drought	S1	31	3.39	0.046666667
Drought	S1	39	5.595	0.081666667
Drought	S1	45	0.94125	0.01
Drought	S1	51	0.67	0.02
Drought	S1	59	0.9	0.02
Drought	S2	0	3.625	0.06
Drought	S2	6	5.03	0.097777778
Drought	S2	19	5.042222222	0.058333333
Drought	S2	31	3.898333333	0.058333333
Drought	S2	39	3.93	0.074285714
Drought	S2	45	2.03	0.024285714
Drought	S2	51	2.84125	0.0625
Drought	S2	59	-0.454285714	0.008571429
Drought	S3	0	6.22	0.136666667
Drought	S3	6	6.127777778	0.162222222
Drought	S3	19	5.773333333	0.101666667
Drought	S3	31	2.051666667	0.036666667
Drought	S3	39	1.205714286	0.04
Drought	S3	45	.	.
Drought	S3	51	.	.
Drought	S3	59	.	.
Drought	S4	0	4.521666667	0.075
Drought	S4	6	7.131666667	0.161666667
Drought	S4	19	4.07	0.075
Drought	S4	31	2.914285714	0.032857143
Drought	S4	39	2.446	0.042
Drought	S4	45	0.864285714	0.01
Drought	S4	51	-0.95125	0.015
Drought	S4	59	.	.
Fog	N1	0	6.728333333	0.108333333
Fog	N1	6	8.056666667	0.147777778
Fog	N1	19	8.005	0.14125
Fog	N1	31	5.883333333	0.08
Fog	N1	39	6.72125	0.11625
Fog	N1	45	8.032857143	0.067142857
Fog	N1	51	4.342857143	0.101428571
Fog	N1	59	2.221428571	0.022857143
Fog	N2	0	4.743333333	0.075
Fog	N2	6	5.51	0.115
Fog	N2	19	3.781666667	0.105
Fog	N2	31	4.598333333	0.075
Fog	N2	39	6.931666667	0.103333333
Fog	N2	45	2.956666667	0.066666667
Fog	N2	51	5.391666667	0.101666667
Fog	N2	59	2.925	0.0575
Fog	N3	0	4.39	0.076
Fog	N3	6	6.368333333	0.168333333
Fog	N3	19	5.8	0.15
Fog	N3	31	5.063333333	0.1
Fog	N3	39	3.931111111	0.151111111
Fog	N3	45	4.791666667	0.066666667
Fog	N3	51	4.775714286	0.121428571
Fog	N3	59	3.4625	0.085714286
Fog	N4	0	3.433333333	0.05
Fog	N4	6	8.461111111	0.203333333
Fog	N4	19	6.6	0.131666667
Fog	N4	31	5.811666667	0.115
Fog	N4	39	2.99625	0.14875
Fog	N4	45	3.662857143	0.054285714
Fog	N4	51	4.998333333	0.1
Fog	N4	59	1.445714286	0.014285714
Fog	N5	0	3.335	0.046666667
Fog	N5	6	6.578888889	0.161111111
Fog	N5	19	5.926666667	0.112
Fog	N5	31	3.668333333	0.053333333
Fog	N5	39	4.865714286	0.137142857
Fog	N5	45	5.346666667	0.053333333
Fog	N5	51	8.301666667	0.143333333
Fog	N5	59	3.794	0.066
Fog	N6	0	.	.
Fog	N6	6	2.303333333	0.046666667
Fog	N6	19	2.583333333	0.036666667
Fog	N6	31	1.661111111	0.027777778
Fog	N6	39	3.822	0.072
Fog	N6	45	2.118333333	0.016666667
Fog	N6	51	3.616666667	0.07
Fog	N6	59	3.29	0.04

